city,state,total_purchases,total_revenue,avg_check
Great Falls,YT,8,20124.0,2515.5000000000000000
Sandpoint,MB,8,19962.0,2495.2500000000000000
Sacramento,MI,7,17441.0,2491.5714285714285714
Escondido,NS,7,17400.0,2485.7142857142857143
Brea,WA,7,17377.0,2482.4285714285714286
Bradford,PE,13,32167.0,2474.3846153846153846
Laramie,NU,6,14839.0,2473.1666666666666667
New Castle,NB,8,19766.0,2470.7500000000000000
Dearborn,AZ,11,27056.0,2459.6363636363636364
San Gabriel,AB,6,14757.0,2459.5000000000000000
Sandy Springs,NH,7,17211.0,2458.7142857142857143
Johnstown,NS,6,14704.0,2450.6666666666666667
Oswego,LA,6,14688.0,2448.0000000000000000
Asbury Park,NY,11,26879.0,2443.5454545454545455
Virginia Beach,NT,7,17043.0,2434.7142857142857143
Macon,QC,14,34071.0,2433.6428571428571429
Monrovia,MB,8,19413.0,2426.6250000000000000
Fort Lauderdale,MD,7,16904.0,2414.8571428571428571
Twin Falls,YT,6,14457.0,2409.5000000000000000
Forrest City,AZ,9,21666.0,2407.3333333333333333
Paterson,OR,6,14436.0,2406.0000000000000000
La Mirada,NS,9,21632.0,2403.5555555555555556
Sister Bay,NS,8,18997.0,2374.6250000000000000
Madison,SK,9,21358.0,2373.1111111111111111
Modesto,KY,8,18948.0,2368.5000000000000000
Aberdeen,NU,7,16576.0,2368.0000000000000000
Syracuse,SD,14,33075.0,2362.5000000000000000
Evansville,MB,7,16533.0,2361.8571428571428571
Parkersburg,DC,9,21225.0,2358.3333333333333333
Norton,AL,6,14118.0,2353.0000000000000000
Paterson,MI,8,18819.0,2352.3750000000000000
Mobile,NS,10,23506.0,2350.6000000000000000
Mount Vernon,AK,10,23472.0,2347.2000000000000000
Warwick,FL,8,18606.0,2325.7500000000000000
International Falls,SC,6,13939.0,2323.1666666666666667
Gadsden,OR,7,16255.0,2322.1428571428571429
Macon,DE,7,16219.0,2317.0000000000000000
Philadelphia,QC,7,16158.0,2308.2857142857142857
Williston,NJ,6,13846.0,2307.6666666666666667
Oklahoma City,WY,8,18446.0,2305.7500000000000000
Bangor,NT,16,36816.0,2301.0000000000000000
Concord,MS,8,18381.0,2297.6250000000000000
Alameda,NT,20,45944.0,2297.2000000000000000
Boston,AK,6,13768.0,2294.6666666666666667
Hialeah,OK,6,13754.0,2292.3333333333333333
Guthrie,PE,8,18322.0,2290.2500000000000000
Seal Beach,YT,14,32001.0,2285.7857142857142857
Macomb,FL,7,15956.0,2279.4285714285714286
Fullerton,NL,6,13670.0,2278.3333333333333333
Tallahassee,QC,12,27264.0,2272.0000000000000000
Owensboro,AK,12,27239.0,2269.9166666666666667
Manhattan,OH,8,18134.0,2266.7500000000000000
Brown Deer,NB,10,22640.0,2264.0000000000000000
Longview,NU,8,18091.0,2261.3750000000000000
Kennewick,BC,6,13568.0,2261.3333333333333333
Bowie,TX,12,26979.0,2248.2500000000000000
Worland,NT,9,20225.0,2247.2222222222222222
Davenport,IA,11,24662.0,2242.0000000000000000
Moline,MI,6,13429.0,2238.1666666666666667
Poughkeepsie,NS,7,15621.0,2231.5714285714285714
Tacoma,NU,16,35655.0,2228.4375000000000000
Gardena,NU,7,15566.0,2223.7142857142857143
Monroe,AB,6,13327.0,2221.1666666666666667
West Palm Beach,NT,13,28847.0,2219.0000000000000000
Statesboro,ON,6,13296.0,2216.0000000000000000
Asheville,ON,14,30952.0,2210.8571428571428571
Laurel,NU,8,17622.0,2202.7500000000000000
Dickinson,NU,13,28611.0,2200.8461538461538462
La Puente,SD,12,26377.0,2198.0833333333333333
Stillwater,PE,7,15370.0,2195.7142857142857143
Atlanta,MN,16,35102.0,2193.8750000000000000
Santa Clarita,NB,8,17530.0,2191.2500000000000000
Fulton,PE,16,35041.0,2190.0625000000000000
East Lansing,NB,6,13118.0,2186.3333333333333333
Gilbert,NL,16,34876.0,2179.7500000000000000
Chelsea,NT,6,13074.0,2179.0000000000000000
Hawaiian Gardens,WY,7,15252.0,2178.8571428571428571
Bangor,GA,14,30370.0,2169.2857142857142857
Roswell,IL,7,15114.0,2159.1428571428571429
Wheaton,NU,23,49618.0,2157.3043478260869565
Slidell,AZ,8,17252.0,2156.5000000000000000
Butler,IN,11,23642.0,2149.2727272727272727
Claremore,NT,8,17178.0,2147.2500000000000000
Garden Grove,WA,7,14998.0,2142.5714285714285714
Jersey City,UT,12,25690.0,2140.8333333333333333
Missoula,ND,16,34200.0,2137.5000000000000000
New York,SK,9,19228.0,2136.4444444444444444
Dayton,MS,7,14872.0,2124.5714285714285714
Indianapolis,MT,16,33707.0,2106.6875000000000000
Boulder,ON,13,27362.0,2104.7692307692307692
Oro Valley,ME,6,12625.0,2104.1666666666666667
Yonkers,MN,7,14692.0,2098.8571428571428571
Muskogee,SK,11,23068.0,2097.0909090909090909
Ruston,RI,8,16760.0,2095.0000000000000000
Pendleton,NB,12,25117.0,2093.0833333333333333
Wheaton,KS,6,12486.0,2081.0000000000000000
Agat,QC,13,27027.0,2079.0000000000000000
Norfolk,WI,10,20743.0,2074.3000000000000000
Rohnert Park,SK,15,31018.0,2067.8666666666666667
San Francisco,SD,12,24810.0,2067.5000000000000000
Council Bluffs,CA,6,12394.0,2065.6666666666666667
St. Marys,CT,6,12393.0,2065.5000000000000000
Goose Creek,NL,13,26849.0,2065.3076923076923077
Rhinelander,RI,7,14426.0,2060.8571428571428571
West Springfield,PE,13,26690.0,2053.0769230769230769
Atlantic City,KS,12,24605.0,2050.4166666666666667
Beaver Falls,TN,6,12243.0,2040.5000000000000000
Yorba Linda,NS,7,14265.0,2037.8571428571428571
Belleville,FL,7,14249.0,2035.5714285714285714
Greensboro,GA,14,28473.0,2033.7857142857142857
Waco,OH,13,26433.0,2033.3076923076923077
Boulder,WY,6,12194.0,2032.3333333333333333
Minot,PE,8,16254.0,2031.7500000000000000
Walla Walla,NT,18,36540.0,2030.0000000000000000
Pendleton,RI,10,20268.0,2026.8000000000000000
Twin Falls,NV,8,16151.0,2018.8750000000000000
Terre Haute,MA,7,14132.0,2018.8571428571428571
Fitchburg,GA,8,16144.0,2018.0000000000000000
Tupelo,NY,6,12076.0,2012.6666666666666667
Durant,SD,10,20120.0,2012.0000000000000000
Farmington,YT,21,42127.0,2006.0476190476190476
Artesia,NS,9,18043.0,2004.7777777777777778
Northampton,MT,9,17988.0,1998.6666666666666667
Plattsburgh,AB,18,35962.0,1997.8888888888888889
Buena Park,NL,9,17954.0,1994.8888888888888889
Bandera,UT,8,15950.0,1993.7500000000000000
Los Angeles,PE,12,23911.0,1992.5833333333333333
Victoria,MS,10,19918.0,1991.8000000000000000
Natchez,CA,6,11943.0,1990.5000000000000000
Newark,AK,15,29786.0,1985.7333333333333333
Rensselaer,AB,7,13882.0,1983.1428571428571429
Douglas,UT,7,13877.0,1982.4285714285714286
Aliso Viejo,MD,7,13874.0,1982.0000000000000000
Huntington Park,NB,7,13866.0,1980.8571428571428571
Brea,ME,6,11878.0,1979.6666666666666667
Mankato,DC,7,13828.0,1975.4285714285714286
Meadville,QC,9,17778.0,1975.3333333333333333
Rochester,KY,8,15798.0,1974.7500000000000000
Marshall,AK,6,11843.0,1973.8333333333333333
Brookfield,OK,7,13812.0,1973.1428571428571429
Scottsbluff,CT,8,15783.0,1972.8750000000000000
Compton,LA,8,15756.0,1969.5000000000000000
Beloit,TN,8,15744.0,1968.0000000000000000
Astoria,BC,6,11793.0,1965.5000000000000000
Weirton,YT,7,13736.0,1962.2857142857142857
Columbia,NS,27,52931.0,1960.4074074074074074
La Verne,UT,10,19575.0,1957.5000000000000000
St. Marys,NS,8,15657.0,1957.1250000000000000
Lodi,HI,6,11684.0,1947.3333333333333333
Woodruff,NL,6,11681.0,1946.8333333333333333
Sunbury,KS,7,13566.0,1938.0000000000000000
Vallejo,CT,7,13554.0,1936.2857142857142857
Wilmington,IN,8,15490.0,1936.2500000000000000
Nichols Hills,NB,20,38714.0,1935.7000000000000000
Lander,NB,10,19340.0,1934.0000000000000000
Dallas,QC,7,13515.0,1930.7142857142857143
Inglewood,NB,7,13500.0,1928.5714285714285714
Sedalia,ON,9,17345.0,1927.2222222222222222
Port Jervis,MB,10,19267.0,1926.7000000000000000
Bossier City,PA,9,17335.0,1926.1111111111111111
Lodi,WV,6,11533.0,1922.1666666666666667
Arcadia,MT,13,24970.0,1920.7692307692307692
Irving,NT,9,17277.0,1919.6666666666666667
St. Marys,DE,6,11485.0,1914.1666666666666667
Gatlinburg,NM,7,13398.0,1914.0000000000000000
Palo Alto,OK,6,11480.0,1913.3333333333333333
Wahoo,OH,10,19119.0,1911.9000000000000000
New Iberia,MI,8,15291.0,1911.3750000000000000
Bangor,BC,7,13379.0,1911.2857142857142857
Boston,MI,8,15285.0,1910.6250000000000000
Beacon,YT,9,17190.0,1910.0000000000000000
Grass Valley,MO,7,13368.0,1909.7142857142857143
Salem,MB,13,24805.0,1908.0769230769230769
Rocky Mount,AK,14,26661.0,1904.3571428571428571
Carbondale,NT,10,19036.0,1903.6000000000000000
Richland,KS,9,17123.0,1902.5555555555555556
Las Cruces,YT,9,17118.0,1902.0000000000000000
Azusa,BC,6,11400.0,1900.0000000000000000
Somerville,WV,8,15196.0,1899.5000000000000000
Beaumont,ON,12,22792.0,1899.3333333333333333
Mequon,NY,7,13280.0,1897.1428571428571429
Richland,NU,6,11380.0,1896.6666666666666667
Saukville,UT,9,17046.0,1894.0000000000000000
York,VA,8,15110.0,1888.7500000000000000
Lubbock,NB,6,11328.0,1888.0000000000000000
Jefferson City,NT,13,24521.0,1886.2307692307692308
Dodge City,QC,6,11308.0,1884.6666666666666667
Amesbury,VT,11,20688.0,1880.7272727272727273
Catskill,ON,13,24445.0,1880.3846153846153846
Gadsden,YT,9,16917.0,1879.6666666666666667
Marietta,CT,8,15010.0,1876.2500000000000000
San Clemente,OK,8,15008.0,1876.0000000000000000
Huntington,MI,8,15008.0,1876.0000000000000000
Clemson,NL,10,18723.0,1872.3000000000000000
Mayagez,VA,7,13101.0,1871.5714285714285714
Waukegan,NT,6,11226.0,1871.0000000000000000
Tacoma,NL,12,22383.0,1865.2500000000000000
Littleton,WV,10,18642.0,1864.2000000000000000
Stamford,QC,10,18631.0,1863.1000000000000000
Los Alamitos,AB,8,14899.0,1862.3750000000000000
Casper,NB,22,40958.0,1861.7272727272727273
Concord,ID,7,13024.0,1860.5714285714285714
Bozeman,VT,6,11142.0,1857.0000000000000000
Lowell,NL,22,40801.0,1854.5909090909090909
Joplin,CT,7,12957.0,1851.0000000000000000
Idabel,GA,13,24062.0,1850.9230769230769231
Providence,WY,7,12928.0,1846.8571428571428571
Laramie,MD,8,14774.0,1846.7500000000000000
Ashland,MS,11,20229.0,1839.0000000000000000
Laguna Woods,GA,8,14705.0,1838.1250000000000000
Houston,RI,7,12866.0,1838.0000000000000000
Hawthorne,MD,9,16538.0,1837.5555555555555556
Blythe,NL,22,40412.0,1836.9090909090909091
Norwich,AZ,6,11004.0,1834.0000000000000000
West Hollywood,TN,8,14667.0,1833.3750000000000000
Sioux City,AB,7,12826.0,1832.2857142857142857
Mount Pleasant,YT,6,10970.0,1828.3333333333333333
Opelousas,NL,6,10969.0,1828.1666666666666667
Midwest City,ND,8,14624.0,1828.0000000000000000
Webster Groves,SK,7,12795.0,1827.8571428571428571
Hackensack,MB,15,27392.0,1826.1333333333333333
Miami Beach,TX,6,10924.0,1820.6666666666666667
Jenks,MO,8,14510.0,1813.7500000000000000
Richmond,MB,22,39824.0,1810.1818181818181818
Edmond,ON,11,19900.0,1809.0909090909090909
Glen Cove,MT,7,12660.0,1808.5714285714285714
Peabody,MN,7,12646.0,1806.5714285714285714
Sitka,KY,6,10818.0,1803.0000000000000000
Bay City,ON,12,21609.0,1800.7500000000000000
Statesboro,SK,11,19808.0,1800.7272727272727273
Brea,MD,8,14391.0,1798.8750000000000000
Troy,ND,9,16188.0,1798.6666666666666667
Franklin,ID,16,28772.0,1798.2500000000000000
Claremore,ME,6,10788.0,1798.0000000000000000
Thomasville,NB,6,10784.0,1797.3333333333333333
Wilson,NY,7,12562.0,1794.5714285714285714
Costa Mesa,QC,16,28701.0,1793.8125000000000000
Lynn,WV,7,12548.0,1792.5714285714285714
Hornell,WV,7,12548.0,1792.5714285714285714
Charlottesville,MO,8,14321.0,1790.1250000000000000
Durham,IL,8,14288.0,1786.0000000000000000
Asbury Park,SC,14,24997.0,1785.5000000000000000
Garden Grove,QC,8,14284.0,1785.5000000000000000
San Dimas,AL,18,32113.0,1784.0555555555555556
Chicago,SK,7,12486.0,1783.7142857142857143
Lynchburg,AL,8,14262.0,1782.7500000000000000
Ruston,OH,8,14240.0,1780.0000000000000000
Athens,NS,11,19568.0,1778.9090909090909091
Paramount,ID,6,10672.0,1778.6666666666666667
Beverly Hills,KY,8,14224.0,1778.0000000000000000
Manitowoc,OR,8,14210.0,1776.2500000000000000
Apple Valley,NJ,18,31930.0,1773.8888888888888889
Avalon,BC,6,10633.0,1772.1666666666666667
Costa Mesa,OR,7,12392.0,1770.2857142857142857
Allentown,GA,8,14112.0,1764.0000000000000000
Seattle,YT,8,14111.0,1763.8750000000000000
Revere,AZ,9,15873.0,1763.6666666666666667
Fayetteville,AK,6,10574.0,1762.3333333333333333
Las Vegas,VA,6,10574.0,1762.3333333333333333
Gettysburg,MB,8,14098.0,1762.2500000000000000
Wilkes-Barre,NL,6,10564.0,1760.6666666666666667
Cruz Bay,PE,28,49224.0,1758.0000000000000000
Half Moon Bay,NB,11,19332.0,1757.4545454545454545
Tamuning,NL,6,10530.0,1755.0000000000000000
Placentia,NT,8,13987.0,1748.3750000000000000
West Bend,YT,13,22699.0,1746.0769230769230769
Vineland,AB,10,17459.0,1745.9000000000000000
Princeton,ON,18,31396.0,1744.2222222222222222
Annapolis,NT,12,20915.0,1742.9166666666666667
Shelton,FL,12,20896.0,1741.3333333333333333
Kennewick,MA,7,12184.0,1740.5714285714285714
Lowell,QC,15,26081.0,1738.7333333333333333
Ann Arbor,NV,6,10428.0,1738.0000000000000000
East Rutherford,MS,8,13900.0,1737.5000000000000000
Kenner,NS,11,19042.0,1731.0909090909090909
Casper,IA,7,12116.0,1730.8571428571428571
Visalia,MD,14,24222.0,1730.1428571428571429
South Burlington,SK,6,10366.0,1727.6666666666666667
Montpelier,FL,7,12084.0,1726.2857142857142857
South Portland,FL,8,13802.0,1725.2500000000000000
Manhattan,NS,11,18944.0,1722.1818181818181818
Dalton,WY,7,12045.0,1720.7142857142857143
Fremont,NT,8,13734.0,1716.7500000000000000
Wahoo,AB,8,13672.0,1709.0000000000000000
Medford,AL,6,10236.0,1706.0000000000000000
El Cerrito,TN,8,13643.0,1705.3750000000000000
Rock Springs,SK,8,13643.0,1705.3750000000000000
Glens Falls,FL,22,37506.0,1704.8181818181818182
Modesto,NS,11,18752.0,1704.7272727272727273
Elkhart,QC,7,11926.0,1703.7142857142857143
Charleston,NU,13,22147.0,1703.6153846153846154
Anderson,CT,12,20399.0,1699.9166666666666667
Palm Springs,BC,12,20394.0,1699.5000000000000000
Laughlin,NU,20,33981.0,1699.0500000000000000
Camden,NU,8,13589.0,1698.6250000000000000
Newton,QC,9,15280.0,1697.7777777777777778
Schaumburg,OR,7,11884.0,1697.7142857142857143
Perth Amboy,TN,7,11879.0,1697.0000000000000000
Jeffersonville,NB,14,23728.0,1694.8571428571428571
Vail,AK,6,10143.0,1690.5000000000000000
Lawrence,NV,7,11832.0,1690.2857142857142857
Burlingame,NS,8,13504.0,1688.0000000000000000
York,ME,11,18559.0,1687.1818181818181818
New Britain,ON,6,10117.0,1686.1666666666666667
Medford,IA,10,16849.0,1684.9000000000000000
Macon,KS,8,13478.0,1684.7500000000000000
Mason City,WI,13,21882.0,1683.2307692307692308
Yakima,YT,20,33624.0,1681.2000000000000000
Providence,MD,8,13443.0,1680.3750000000000000
Moorhead,NS,16,26879.0,1679.9375000000000000
Caguas,NT,13,21836.0,1679.6923076923076923
Stamford,NT,8,13437.0,1679.6250000000000000
Palmdale,WA,7,11747.0,1678.1428571428571429
Charleston,CA,9,15084.0,1676.0000000000000000
Salinas,MB,8,13397.0,1674.6250000000000000
Brunswick,MT,8,13368.0,1671.0000000000000000
Charlotte,NU,8,13362.0,1670.2500000000000000
Norwalk,NT,7,11683.0,1669.0000000000000000
Joplin,NS,11,18356.0,1668.7272727272727273
Huntington Park,QC,9,15017.0,1668.5555555555555556
Madison,NL,6,10000.0,1666.6666666666666667
La Jolla,SK,6,9997.0,1666.1666666666666667
Marietta,AB,11,18312.0,1664.7272727272727273
Mesquite,MN,6,9974.0,1662.3333333333333333
Gu nica,IN,14,23229.0,1659.2142857142857143
Lahaina,NU,12,19906.0,1658.8333333333333333
Olympia,AZ,9,14927.0,1658.5555555555555556
Saginaw,NL,18,29798.0,1655.4444444444444444
Taunton,NL,18,29784.0,1654.6666666666666667
Trenton,PE,30,49633.0,1654.4333333333333333
Tempe,QC,11,18180.0,1652.7272727272727273
Danville,AB,12,19832.0,1652.6666666666666667
Riverside,UT,6,9878.0,1646.3333333333333333
Wilmington,YT,11,18069.0,1642.6363636363636364
Winooski,ON,7,11495.0,1642.1428571428571429
Bellingham,AB,6,9850.0,1641.6666666666666667
College Station,PE,7,11487.0,1641.0000000000000000
Lufkin,MO,8,13125.0,1640.6250000000000000
Barrow,TN,17,27884.0,1640.2352941176470588
Taunton,IN,9,14744.0,1638.2222222222222222
Mount Vernon,DC,11,18003.0,1636.6363636363636364
Amesbury,SD,15,24549.0,1636.6000000000000000
Parma,TX,8,13089.0,1636.1250000000000000
Beckley,UT,9,14696.0,1632.8888888888888889
Independence,PA,16,26106.0,1631.6250000000000000
Rancho Palos Verdes,TX,7,11386.0,1626.5714285714285714
Farmington,NH,7,11384.0,1626.2857142857142857
Plantation,NU,13,21140.0,1626.1538461538461538
Flint,NC,8,13004.0,1625.5000000000000000
Canton,TX,10,16246.0,1624.6000000000000000
Vernon,MB,15,24366.0,1624.4000000000000000
Sherrill,AK,13,21117.0,1624.3846153846153846
Iowa City,CO,11,17858.0,1623.4545454545454545
Sun Valley,QC,7,11363.0,1623.2857142857142857
Henderson,NS,12,19458.0,1621.5000000000000000
Guayama,NU,11,17814.0,1619.4545454545454545
Guayama,WV,7,11330.0,1618.5714285714285714
La Verne,NJ,16,25893.0,1618.3125000000000000
Redlands,SK,21,33872.0,1612.9523809523809524
Bowie,AK,8,12902.0,1612.7500000000000000
Boulder Junction,KY,7,11289.0,1612.7142857142857143
Battle Creek,ON,9,14500.0,1611.1111111111111111
Hermitage,SK,6,9661.0,1610.1666666666666667
Leominster,AZ,11,17702.0,1609.2727272727272727
Lufkin,DC,8,12863.0,1607.8750000000000000
Rapid City,YT,12,19292.0,1607.6666666666666667
Aspen,MB,6,9634.0,1605.6666666666666667
Hammond,SK,9,14450.0,1605.5555555555555556
Murrieta,WY,8,12842.0,1605.2500000000000000
Juneau,ON,24,38506.0,1604.4166666666666667
Zanesville,ON,16,25653.0,1603.3125000000000000
Areceibo,NU,13,20833.0,1602.5384615384615385
Fernley,DC,7,11215.0,1602.1428571428571429
Grafton,NL,13,20824.0,1601.8461538461538462
Des Moines,ID,8,12802.0,1600.2500000000000000
San Jose,AL,9,14396.0,1599.5555555555555556
Great Falls,NU,8,12796.0,1599.5000000000000000
Huntington Beach,MA,8,12796.0,1599.5000000000000000
Kalispell,PE,8,12793.0,1599.1250000000000000
Eau Claire,YT,6,9584.0,1597.3333333333333333
Annapolis,SK,7,11170.0,1595.7142857142857143
Winooski,KS,12,19135.0,1594.5833333333333333
Fernley,HI,12,19130.0,1594.1666666666666667
Atlantic City,OK,9,14342.0,1593.5555555555555556
Edina,ON,13,20710.0,1593.0769230769230769
Los Angeles,UT,6,9556.0,1592.6666666666666667
Westfield,MD,15,23866.0,1591.0666666666666667
Binghamton,HI,9,14311.0,1590.1111111111111111
Gilbert,MB,11,17488.0,1589.8181818181818182
Arvada,OK,7,11127.0,1589.5714285714285714
Lexington,NB,8,12713.0,1589.1250000000000000
New Bedford,NE,8,12704.0,1588.0000000000000000
Fredericksburg,SC,9,14292.0,1588.0000000000000000
Twin Falls,KS,9,14284.0,1587.1111111111111111
Chicago,IA,8,12680.0,1585.0000000000000000
Stanton,RI,8,12674.0,1584.2500000000000000
Sault Ste. Marie,MB,19,30097.0,1584.0526315789473684
Canandaigua,ON,9,14252.0,1583.5555555555555556
Sierra Vista,AK,22,34831.0,1583.2272727272727273
Norwalk,ON,19,30018.0,1579.8947368421052632
Albany,PA,7,11054.0,1579.1428571428571429
Baton Rouge,KY,6,9472.0,1578.6666666666666667
Fort Wayne,KS,7,11048.0,1578.2857142857142857
Champaign,NT,14,22093.0,1578.0714285714285714
Commerce,AB,18,28385.0,1576.9444444444444444
La Puente,MS,6,9450.0,1575.0000000000000000
Farmer City,MB,18,28336.0,1574.2222222222222222
Murfreesboro,WY,7,11018.0,1574.0000000000000000
Harrisburg,CO,8,12592.0,1574.0000000000000000
Port Arthur,ON,18,28316.0,1573.1111111111111111
Miami Gardens,SC,12,18847.0,1570.5833333333333333
Lowell,IA,7,10986.0,1569.4285714285714286
Boston,UT,6,9404.0,1567.3333333333333333
Vacaville,QC,7,10970.0,1567.1428571428571429
Mandan,YT,10,15652.0,1565.2000000000000000
Covington,NB,7,10948.0,1564.0000000000000000
Montpelier,AK,10,15638.0,1563.8000000000000000
Santa Fe,AB,11,17196.0,1563.2727272727272727
Laguna Niguel,NB,10,15626.0,1562.6000000000000000
Placentia,ON,9,14004.0,1556.0000000000000000
Saratoga Springs,AK,10,15558.0,1555.8000000000000000
Mission Viejo,BC,12,18666.0,1555.5000000000000000
Saginaw,MB,14,21766.0,1554.7142857142857143
Coatesville,NY,13,20207.0,1554.3846153846153846
Kalispell,NB,13,20172.0,1551.6923076923076923
Norton,QC,15,23272.0,1551.4666666666666667
Warren,NH,8,12406.0,1550.7500000000000000
Glendale,BC,9,13951.0,1550.1111111111111111
Monterey Park,TN,6,9294.0,1549.0000000000000000
Alexandria,NT,15,23234.0,1548.9333333333333333
Charleston,VT,9,13940.0,1548.8888888888888889
Cudahy,ON,7,10834.0,1547.7142857142857143
Lock Haven,NL,6,9285.0,1547.5000000000000000
Concord,ON,11,17022.0,1547.4545454545454545
Sandy,MD,13,20116.0,1547.3846153846153846
South Pasadena,MT,7,10826.0,1546.5714285714285714
Saratoga Springs,NT,9,13916.0,1546.2222222222222222
Burbank,AZ,8,12367.0,1545.8750000000000000
Pembroke Pines,OK,7,10812.0,1544.5714285714285714
Fort Dodge,SK,6,9258.0,1543.0000000000000000
Hornell,MD,19,29310.0,1542.6315789473684211
Gallup,TX,11,16947.0,1540.6363636363636364
Boulder,PE,10,15399.0,1539.9000000000000000
Manitowoc,NT,7,10778.0,1539.7142857142857143
Costa Mesa,MI,6,9224.0,1537.3333333333333333
Kalamazoo,VA,12,18433.0,1536.0833333333333333
Iowa City,NB,10,15346.0,1534.6000000000000000
Huntington,MO,7,10736.0,1533.7142857142857143
Santa Fe,MN,6,9201.0,1533.5000000000000000
Keene,NH,8,12266.0,1533.2500000000000000
Juneau,AB,12,18396.0,1533.0000000000000000
Gold Beach,QC,27,41352.0,1531.5555555555555556
Chelsea,GA,12,18352.0,1529.3333333333333333
Brunswick,NH,7,10696.0,1528.0000000000000000
Kingston,NU,6,9164.0,1527.3333333333333333
Memphis,YT,11,16799.0,1527.1818181818181818
Rancho Cucamonga,YT,21,32047.0,1526.0476190476190476
Nenana,ON,7,10682.0,1526.0000000000000000
Lahaina,AK,11,16782.0,1525.6363636363636364
Selma,NS,14,21358.0,1525.5714285714285714
San Luis Obispo,IN,16,24375.0,1523.4375000000000000
